Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,0.2,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
3.7942e+00,-0.036,-0.032,-0.2,-0.192
3.8018e+00,-0.036,-0.04,-0.2,-0.216
3.8095e+00,-0.036,-0.032,-0.2,-0.192
3.8172e+00,-0.036,-0.04,-0.2,-0.216
3.8249e+00,-0.036,-0.032,-0.2,-0.192
3.8326e+00,-0.036,-0.04,-0.2,-0.216
3.8402e+00,-0.036,-0.032,-0.2,-0.192
3.8479e+00,-0.036,-0.04,-0.2,-0.216
3.8556e+00,-0.036,-0.032,-0.2,-0.184
3.8633e+00,-0.036,-0.04,-0.2,-0.216
3.8710e+00,-0.036,-0.032,-0.2,-0.184
3.8786e+00,-0.036,-0.04,-0.2,-0.216
3.8863e+00,-0.036,-0.032,-0.2,-0.192
3.8940e+00,-0.036,-0.04,-0.2,-0.208
3.9017e+00,-0.036,-0.032,-0.2,-0.184
3.9094e+00,-0.036,-0.04,-0.2,-0.208
3.9171e+00,-0.036,-0.032,-0.2,-0.192
3.9247e+00,-0.036,-0.04,-0.2,-0.208
3.9324e+00,-0.036,-0.032,-0.2,-0.192
3.9401e+00,-0.036,-0.04,-0.2,-0.208
3.9478e+00,-0.036,-0.032,-0.2,-0.192
3.9555e+00,-0.036,-0.04,-0.2,-0.208
3.9631e+00,-0.036,-0.032,-0.2,-0.184
3.9708e+00,-0.036,-0.04,-0.2,-0.208
3.9785e+00,-0.036,-0.032,-0.2,-0.184
3.9862e+00,-0.036,-0.04,-0.2,-0.208
3.9939e+00,-0.036,-0.032,-0.2,-0.184
4.0015e+00,-0.036,-0.04,-0.2,-0.208
4.0092e+00,-0.036,-0.032,-0.2,-0.184
4.0169e+00,-0.036,-0.04,-0.2,-0.208
4.0246e+00,-0.036,-0.032,-0.2,-0.184
4.0323e+00,-0.036,-0.04,-0.2,-0.208
4.0399e+00,-0.036,-0.028,-0.2,-0.184
4.0476e+00,-0.036,-0.04,-0.2,-0.208
4.0553e+00,-0.036,-0.032,-0.192,-0.184
4.0630e+00,-0.036,-0.04,-0.192,-0.208
4.0707e+00,-0.036,-0.028,-0.192,-0.184
4.0783e+00,-0.032,-0.04,-0.192,-0.208
4.0860e+00,-0.032,-0.028,-0.192,-0.184
4.0937e+00,-0.032,-0.04,-0.192,-0.208
4.1014e+00,-0.032,-0.028,-0.192,-0.184
4.1091e+00,-0.032,-0.04,-0.192,-0.208
4.1167e+00,-0.032,-0.028,-0.192,-0.184
4.1244e+00,-0.032,-0.04,-0.192,-0.2
4.1321e+00,-0.032,-0.028,-0.192,-0.184
4.1398e+00,-0.032,-0.04,-0.192,-0.208
4.1475e+00,-0.032,-0.028,-0.192,-0.184
4.1551e+00,-0.032,-0.04,-0.192,-0.208
4.1628e+00,-0.032,-0.028,-0.192,-0.184
4.1705e+00,-0.032,-0.04,-0.192,-0.208
4.1782e+00,-0.032,-0.028,-0.192,-0.176
4.1859e+00,-0.032,-0.036,-0.192,-0.208
4.1935e+00,-0.032,-0.028,-0.192,-0.184
4.2012e+00,-0.032,-0.036,-0.192,-0.208
4.2089e+00,-0.032,-0.028,-0.192,-0.176
4.2166e+00,-0.032,-0.036,-0.192,-0.2
4.2243e+00,-0.032,-0.028,-0.192,-0.184
4.2320e+00,-0.032,-0.04,-0.192,-0.2
4.2396e+00,-0.032,-0.028,-0.192,-0.184
4.2473e+00,-0.032,-0.036,-0.192,-0.2
4.2550e+00,-0.032,-0.028,-0.192,-0.176
4.2627e+00,-0.032,-0.036,-0.192,-0.2
4.2704e+00,-0.032,-0.028,-0.192,-0.184
4.2780e+00,-0.032,-0.036,-0.192,-0.2
4.2857e+00,-0.032,-0.028,-0.192,-0.176
4.2934e+00,-0.032,-0.036,-0.192,-0.2
4.3011e+00,-0.032,-0.028,-0.192,-0.176
4.3088e+00,-0.032,-0.036,-0.192,-0.2
4.3164e+00,-0.032,-0.028,-0.192,-0.176
4.3241e+00,-0.032,-0.036,-0.192,-0.2
4.3318e+00,-0.032,-0.028,-0.192,-0.176
4.3395e+00,-0.032,-0.036,-0.192,-0.2
4.3472e+00,-0.032,-0.028,-0.192,-0.176
4.3548e+00,-0.032,-0.036,-0.192,-0.2
4.3625e+00,-0.032,-0.028,-0.184,-0.176
4.3702e+00,-0.032,-0.036,-0.184,-0.2
4.3779e+00,-0.032,-0.028,-0.184,-0.176
4.3856e+00,-0.032,-0.036,-0.184,-0.2
4.3932e+00,-0.032,-0.028,-0.184,-0.176
4.4009e+00,-0.032,-0.036,-0.184,-0.2
4.4086e+00,-0.032,-0.028,-0.184,-0.176
4.4163e+00,-0.032,-0.036,-0.184,-0.2
4.4240e+00,-0.032,-0.028,-0.184,-0.176
4.4316e+00,-0.032,-0.036,-0.184,-0.2
4.4393e+00,-0.032,-0.028,-0.184,-0.176
4.4470e+00,-0.032,-0.036,-0.184,-0.192
4.4547e+00,-0.032,-0.028,-0.184,-0.176
4.4624e+00,-0.032,-0.036,-0.184,-0.192
4.4700e+00,-0.032,-0.028,-0.184,-0.176
4.4777e+00,-0.032,-0.036,-0.184,-0.192
4.4854e+00,-0.032,-0.028,-0.184,-0.168
4.4931e+00,-0.032,-0.036,-0.184,-0.2
4.5008e+00,-0.032,-0.028,-0.184,-0.168
4.5084e+00,-0.032,-0.036,-0.184,-0.192
4.5161e+00,-0.032,-0.028,-0.184,-0.176
4.5238e+00,-0.032,-0.036,-0.184,-0.192
4.5315e+00,-0.032,-0.028,-0.184,-0.176
4.5392e+00,-0.032,-0.036,-0.184,-0.192
4.5469e+00,-0.032,-0.024,-0.184,-0.176
4.5545e+00,-0.032,-0.036,-0.184,-0.192
4.5622e+00,-0.032,-0.024,-0.184,-0.176
4.5699e+00,-0.032,-0.036,-0.184,-0.192
4.5776e+00,-0.032,-0.028,-0.184,-0.168
4.5853e+00,-0.032,-0.036,-0.184,-0.192
4.5929e+00,-0.032,-0.024,-0.184,-0.168
4.6006e+00,-0.032,-0.036,-0.184,-0.192
4.6083e+00,-0.032,-0.024,-0.184,-0.168
4.6160e+00,-0.032,-0.036,-0.184,-0.192
4.6237e+00,-0.032,-0.024,-0.184,-0.168
4.6313e+00,-0.032,-0.036,-0.184,-0.192
4.6390e+00,-0.032,-0.024,-0.176,-0.168
4.6467e+00,-0.032,-0.036,-0.176,-0.192
4.6544e+00,-0.028,-0.024,-0.176,-0.168
4.6621e+00,-0.028,-0.036,-0.176,-0.192
4.6697e+00,-0.028,-0.024,-0.176,-0.168
4.6774e+00,-0.028,-0.036,-0.176,-0.192
4.6851e+00,-0.028,-0.024,-0.176,-0.168
4.6928e+00,-0.028,-0.032,-0.176,-0.192
4.7005e+00,-0.028,-0.024,-0.176,-0.168
4.7081e+00,-0.028,-0.032,-0.176,-0.192
4.7158e+00,-0.028,-0.024,-0.176,-0.168
4.7235e+00,-0.028,-0.032,-0.176,-0.192
4.7312e+00,-0.028,-0.024,-0.176,-0.168
4.7389e+00,-0.028,-0.032,-0.176,-0.192
4.7465e+00,-0.028,-0.024,-0.176,-0.168
4.7542e+00,-0.028,-0.032,-0.176,-0.184
4.7619e+00,-0.028,-0.024,-0.176,-0.168
4.7696e+00,-0.028,-0.032,-0.176,-0.184
4.7773e+00,-0.028,-0.024,-0.176,-0.168
4.7849e+00,-0.028,-0.032,-0.176,-0.184
4.7926e+00,-0.028,-0.024,-0.176,-0.16
4.8003e+00,-0.028,-0.032,-0.176,-0.184
4.8080e+00,-0.028,-0.024,-0.176,-0.168
4.8157e+00,-0.028,-0.032,-0.176,-0.192
4.8233e+00,-0.028,-0.024,-0.176,-0.16
4.8310e+00,-0.028,-0.032,-0.176,-0.184
4.8387e+00,-0.028,-0.024,-0.176,-0.16
4.8464e+00,-0.028,-0.032,-0.176,-0.184
4.8541e+00,-0.028,-0.024,-0.176,-0.16
4.8618e+00,-0.028,-0.032,-0.176,-0.184
4.8694e+00,-0.028,-0.024,-0.176,-0.16
4.8771e+00,-0.028,-0.032,-0.176,-0.184
4.8848e+00,-0.028,-0.024,-0.176,-0.16
4.8925e+00,-0.028,-0.032,-0.168,-0.184
4.9002e+00,-0.028,-0.024,-0.168,-0.16
4.9078e+00,-0.028,-0.032,-0.168,-0.184
4.9155e+00,-0.028,-0.024,-0.168,-0.16
4.9232e+00,-0.028,-0.032,-0.168,-0.184
4.9309e+00,-0.028,-0.024,-0.168,-0.16
4.9386e+00,-0.028,-0.032,-0.168,-0.184
4.9462e+00,-0.028,-0.024,-0.168,-0.16
4.9539e+00,-0.028,-0.032,-0.168,-0.184
4.9616e+00,-0.028,-0.024,-0.168,-0.16
4.9693e+00,-0.028,-0.032,-0.168,-0.184
4.9770e+00,-0.028,-0.024,-0.168,-0.16
4.9846e+00,-0.028,-0.032,-0.168,-0.176
4.9923e+00,-0.028,-0.024,-0.168,-0.16
5.0000e+00,-0.028,-0.032,-0.168,-0.184
5.0077e+00,-0.028,-0.024,-0.168,-0.16
5.0154e+00,-0.028,-0.032,-0.168,-0.184
5.0230e+00,-0.028,-0.024,-0.168,-0.152
5.0307e+00,-0.028,-0.032,-0.168,-0.176
5.0384e+00,-0.028,-0.024,-0.168,-0.16
5.0461e+00,-0.028,-0.032,-0.168,-0.176
5.0538e+00,-0.028,-0.024,-0.168,-0.16
5.0614e+00,-0.028,-0.032,-0.168,-0.176
5.0691e+00,-0.028,-0.024,-0.168,-0.152
5.0768e+00,-0.028,-0.032,-0.168,-0.176
5.0845e+00,-0.028,-0.024,-0.168,-0.152
5.0922e+00,-0.028,-0.032,-0.168,-0.176
5.0998e+00,-0.028,-0.02,-0.168,-0.152
5.1075e+00,-0.028,-0.032,-0.168,-0.176
5.1152e+00,-0.028,-0.02,-0.168,-0.152
5.1229e+00,-0.028,-0.032,-0.168,-0.184
5.1306e+00,-0.028,-0.02,-0.168,-0.152
5.1382e+00,-0.028,-0.032,-0.168,-0.176
5.1459e+00,-0.028,-0.02,-0.168,-0.152
5.1536e+00,-0.028,-0.032,-0.168,-0.176
5.1613e+00,-0.028,-0.02,-0.168,-0.152
5.1690e+00,-0.024,-0.032,-0.16,-0.176
5.1767e+00,-0.024,-0.02,-0.16,-0.144
5.1843e+00,-0.024,-0.032,-0.16,-0.176
5.1920e+00,-0.024,-0.02,-0.16,-0.152
5.1997e+00,-0.024,-0.032,-0.16,-0.176
5.2074e+00,-0.024,-0.02,-0.16,-0.152
5.2151e+00,-0.024,-0.028,-0.16,-0.176
5.2227e+00,-0.024,-0.02,-0.16,-0.152
5.2304e+00,-0.024,-0.032,-0.16,-0.176
5.2381e+00,-0.024,-0.02,-0.16,-0.152
5.2458e+00,-0.024,-0.032,-0.16,-0.176
5.2535e+00,-0.024,-0.02,-0.16,-0.152
5.2611e+00,-0.024,-0.028,-0.16,-0.168
5.2688e+00,-0.024,-0.02,-0.16,-0.152
5.2765e+00,-0.024,-0.028,-0.16,-0.168
5.2842e+00,-0.024,-0.02,-0.16,-0.144
5.2919e+00,-0.024,-0.028,-0.16,-0.176
5.2995e+00,-0.024,-0.02,-0.16,-0.144
5.3072e+00,-0.024,-0.028,-0.16,-0.168
5.3149e+00,-0.024,-0.02,-0.16,-0.144
5.3226e+00,-0.024,-0.028,-0.16,-0.168
5.3303e+00,-0.024,-0.02,-0.16,-0.144
5.3379e+00,-0.024,-0.028,-0.16,-0.168
5.3456e+00,-0.024,-0.02,-0.16,-0.144
5.3533e+00,-0.024,-0.028,-0.16,-0.168
5.3610e+00,-0.024,-0.02,-0.16,-0.144
5.3687e+00,-0.024,-0.028,-0.16,-0.168
5.3763e+00,-0.024,-0.02,-0.16,-0.144
5.3840e+00,-0.024,-0.028,-0.16,-0.168
5.3917e+00,-0.024,-0.02,-0.16,-0.144
5.3994e+00,-0.024,-0.028,-0.16,-0.168
5.4071e+00,-0.024,-0.02,-0.152,-0.144
5.4147e+00,-0.024,-0.028,-0.152,-0.168
5.4224e+00,-0.024,-0.02,-0.152,-0.144
5.4301e+00,-0.024,-0.028,-0.152,-0.168
5.4378e+00,-0.024,-0.02,-0.152,-0.144
5.4455e+00,-0.024,-0.028,-0.152,-0.168
5.4531e+00,-0.024,-0.02,-0.152,-0.144
5.4608e+00,-0.024,-0.028,-0.152,-0.168
5.4685e+00,-0.024,-0.02,-0.152,-0.144
5.4762e+00,-0.024,-0.028,-0.152,-0.168
5.4839e+00,-0.024,-0.02,-0.152,-0.144
5.4916e+00,-0.024,-0.028,-0.152,-0.168
5.4992e+00,-0.024,-0.02,-0.152,-0.136
5.5069e+00,-0.024,-0.028,-0.152,-0.16
5.5146e+00,-0.024,-0.02,-0.152,-0.144
5.5223e+00,-0.024,-0.028,-0.152,-0.16
5.5300e+00,-0.024,-0.02,-0.152,-0.144
5.5376e+00,-0.024,-0.028,-0.152,-0.16
5.5453e+00,-0.024,-0.02,-0.152,-0.144
5.5530e+00,-0.024,-0.028,-0.152,-0.16
5.5607e+00,-0.024,-0.02,-0.152,-0.144
5.5684e+00,-0.024,-0.028,-0.152,-0.16
5.5760e+00,-0.024,-0.02,-0.152,-0.136
5.5837e+00,-0.024,-0.028,-0.152,-0.16
5.5914e+00,-0.024,-0.02,-0.152,-0.136
5.5991e+00,-0.024,-0.028,-0.152,-0.16
5.6068e+00,-0.024,-0.02,-0.152,-0.136
5.6144e+00,-0.024,-0.028,-0.152,-0.168
5.6221e+00,-0.024,-0.02,-0.152,-0.136
5.6298e+00,-0.024,-0.028,-0.152,-0.16
5.6375e+00,-0.024,-0.02,-0.152,-0.136
5.6452e+00,-0.024,-0.028,-0.152,-0.16
5.6528e+00,-0.024,-0.016,-0.144,-0.136
5.6605e+00,-0.024,-0.028,-0.144,-0.16
5.6682e+00,-0.02,-0.02,-0.144,-0.136
5.6759e+00,-0.02,-0.028,-0.144,-0.16
5.6836e+00,-0.02,-0.016,-0.144,-0.136
5.6912e+00,-0.02,-0.028,-0.144,-0.16
5.6989e+00,-0.02,-0.016,-0.144,-0.136
5.7066e+00,-0.02,-0.028,-0.144,-0.16
5.7143e+00,-0.02,-0.016,-0.144,-0.136
5.7220e+00,-0.02,-0.028,-0.144,-0.16
5.7296e+00,-0.02,-0.016,-0.144,-0.136
5.7373e+00,-0.02,-0.024,-0.144,-0.16
5.7450e+00,-0.02,-0.016,-0.144,-0.136
5.7527e+00,-0.02,-0.024,-0.144,-0.152
5.7604e+00,-0.02,-0.016,-0.144,-0.128
5.7680e+00,-0.02,-0.024,-0.144,-0.16
5.7757e+00,-0.02,-0.016,-0.144,-0.128
5.7834e+00,-0.02,-0.024,-0.144,-0.16
5.7911e+00,-0.02,-0.016,-0.144,-0.128
5.7988e+00,-0.02,-0.024,-0.144,-0.152
5.8065e+00,-0.02,-0.016,-0.144,-0.128
5.8141e+00,-0.02,-0.024,-0.144,-0.152
5.8218e+00,-0.02,-0.016,-0.144,-0.128
5.8295e+00,-0.02,-0.024,-0.144,-0.152
5.8372e+00,-0.02,-0.016,-0.144,-0.128
5.8449e+00,-0.02,-0.024,-0.144,-0.152
5.8525e+00,-0.02,-0.016,-0.144,-0.128
5.8602e+00,-0.02,-0.024,-0.144,-0.152
5.8679e+00,-0.02,-0.016,-0.144,-0.128
5.8756e+00,-0.02,-0.024,-0.144,-0.152
5.8833e+00,-0.02,-0.016,-0.136,-0.128
5.8909e+00,-0.02,-0.024,-0.136,-0.152
5.8986e+00,-0.02,-0.016,-0.136,-0.128
5.9063e+00,-0.02,-0.024,-0.136,-0.152
5.9140e+00,-0.02,-0.016,-0.136,-0.128
5.9217e+00,-0.02,-0.024,-0.136,-0.152
5.9293e+00,-0.02,-0.016,-0.136,-0.12
5.9370e+00,-0.02,-0.024,-0.136,-0.152
5.9447e+00,-0.02,-0.016,-0.136,-0.12
5.9524e+00,-0.02,-0.024,-0.136,-0.144
5.9601e+00,-0.02,-0.016,-0.136,-0.128
5.9677e+00,-0.02,-0.024,-0.136,-0.144
5.9754e+00,-0.02,-0.016,-0.136,-0.12
5.9831e+00,-0.02,-0.024,-0.136,-0.144
5.9908e+00,-0.02,-0.016,-0.136,-0.12
5.9985e+00,-0.02,-0.024,-0.136,-0.144
6.0061e+00,-0.02,-0.016,-0.136,-0.12
6.0138e+00,-0.02,-0.024,-0.136,-0.144
6.0215e+00,-0.02,-0.016,-0.136,-0.12
6.0292e+00,-0.02,-0.024,-0.136,-0.144
6.0369e+00,-0.02,-0.016,-0.136,-0.12
6.0445e+00,-0.02,-0.024,-0.136,-0.144
6.0522e+00,-0.02,-0.016,-0.136,-0.12
6.0599e+00,-0.02,-0.024,-0.136,-0.144
6.0676e+00,-0.02,-0.016,-0.136,-0.12
6.0753e+00,-0.02,-0.024,-0.128,-0.144
6.0829e+00,-0.02,-0.016,-0.128,-0.12
6.0906e+00,-0.02,-0.024,-0.128,-0.152
6.0983e+00,-0.02,-0.016,-0.128,-0.12
6.1060e+00,-0.02,-0.024,-0.128,-0.144
6.1137e+00,-0.02,-0.016,-0.128,-0.12
6.1214e+00,-0.02,-0.024,-0.128,-0.144
6.1290e+00,-0.02,-0.016,-0.128,-0.112
6.1367e+00,-0.02,-0.024,-0.128,-0.144
6.1444e+00,-0.02,-0.016,-0.128,-0.12
6.1521e+00,-0.02,-0.024,-0.128,-0.144
6.1598e+00,-0.02,-0.016,-0.128,-0.12
6.1674e+00,-0.02,-0.024,-0.128,-0.136
6.1751e+00,-0.02,-0.012,-0.128,-0.12
6.1828e+00,-0.02,-0.024,-0.128,-0.136
6.1905e+00,-0.02,-0.016,-0.128,-0.12
6.1982e+00,-0.02,-0.02,-0.128,-0.136
6.2058e+00,-0.02,-0.012,-0.128,-0.112
6.2135e+00,-0.016,-0.024,-0.128,-0.136
6.2212e+00,-0.016,-0.012,-0.128,-0.112
6.2289e+00,-0.016,-0.02,-0.128,-0.136
6.2366e+00,-0.016,-0.012,-0.128,-0.112
6.2442e+00,-0.016,-0.02,-0.128,-0.144
6.2519e+00,-0.016,-0.012,-0.128,-0.112
6.2596e+00,-0.016,-0.02,-0.128,-0.136
6.2673e+00,-0.016,-0.012,-0.128,-0.112
6.2750e+00,-0.016,-0.02,-0.128,-0.136
6.2826e+00,-0.016,-0.012,-0.12,-0.112
6.2903e+00,-0.016,-0.02,-0.12,-0.136
6.2980e+00,-0.016,-0.012,-0.12,-0.112
6.3057e+00,-0.016,-0.02,-0.12,-0.136
6.3134e+00,-0.016,-0.012,-0.12,-0.112
6.3210e+00,-0.016,-0.02,-0.12,-0.136
6.3287e+00,-0.016,-0.012,-0.12,-0.112
6.3364e+00,-0.016,-0.02,-0.12,-0.136
6.3441e+00,-0.016,-0.012,-0.12,-0.112
6.3518e+00,-0.016,-0.02,-0.12,-0.136
6.3594e+00,-0.016,-0.012,-0.12,-0.112
6.3671e+00,-0.016,-0.02,-0.12,-0.128
6.3748e+00,-0.016,-0.012,-0.12,-0.112
6.3825e+00,-0.016,-0.02,-0.12,-0.128
6.3902e+00,-0.016,-0.012,-0.12,-0.104
6.3978e+00,-0.016,-0.02,-0.12,-0.128
6.4055e+00,-0.016,-0.012,-0.12,-0.112
6.4132e+00,-0.016,-0.02,-0.12,-0.136
6.4209e+00,-0.016,-0.012,-0.12,-0.104
6.4286e+00,-0.016,-0.02,-0.12,-0.128
6.4363e+00,-0.016,-0.012,-0.12,-0.104
6.4439e+00,-0.016,-0.02,-0.12,-0.128
6.4516e+00,-0.016,-0.012,-0.12,-0.104
6.4593e+00,-0.016,-0.02,-0.12,-0.128
6.4670e+00,-0.016,-0.012,-0.12,-0.104
6.4747e+00,-0.016,-0.02,-0.12,-0.128
6.4823e+00,-0.016,-0.012,-0.12,-0.104
6.4900e+00,-0.016,-0.02,-0.112,-0.128
6.4977e+00,-0.016,-0.012,-0.112,-0.104
6.5054e+00,-0.016,-0.02,-0.112,-0.128
6.5131e+00,-0.016,-0.012,-0.112,-0.104
6.5207e+00,-0.016,-0.02,-0.112,-0.128
6.5284e+00,-0.016,-0.012,-0.112,-0.104
6.5361e+00,-0.016,-0.02,-0.112,-0.128
6.5438e+00,-0.016,-0.012,-0.112,-0.104
6.5515e+00,-0.016,-0.02,-0.112,-0.128
6.5591e+00,-0.016,-0.012,-0.112,-0.104
6.5668e+00,-0.016,-0.02,-0.112,-0.128
6.5745e+00,-0.016,-0.012,-0.112,-0.096
6.5822e+00,-0.016,-0.02,-0.112,-0.128
6.5899e+00,-0.016,-0.012,-0.112,-0.096
6.5975e+00,-0.016,-0.02,-0.112,-0.12
6.6052e+00,-0.016,-0.012,-0.112,-0.096
6.6129e+00,-0.016,-0.02,-0.112,-0.12
6.6206e+00,-0.016,-0.012,-0.112,-0.096
6.6283e+00,-0.016,-0.02,-0.112,-0.12
6.6359e+00,-0.016,-0.012,-0.112,-0.096
6.6436e+00,-0.016,-0.02,-0.112,-0.12
6.6513e+00,-0.016,-0.012,-0.112,-0.096
6.6590e+00,-0.016,-0.02,-0.112,-0.12
6.6667e+00,-0.016,-0.008,-0.104,-0.096
6.6743e+00,-0.016,-0.02,-0.104,-0.12
6.6820e+00,-0.016,-0.012,-0.104,-0.096
6.6897e+00,-0.016,-0.02,-0.104,-0.12
6.6974e+00,-0.016,-0.012,-0.104,-0.096
6.7051e+00,-0.016,-0.02,-0.104,-0.12
6.7127e+00,-0.016,-0.008,-0.104,-0.096
6.7204e+00,-0.016,-0.02,-0.104,-0.12
6.7281e+00,-0.016,-0.008,-0.104,-0.088
6.7358e+00,-0.012,-0.02,-0.104,-0.128
6.7435e+00,-0.012,-0.008,-0.104,-0.088
6.7512e+00,-0.012,-0.02,-0.104,-0.12
6.7588e+00,-0.012,-0.008,-0.104,-0.088
6.7665e+00,-0.012,-0.02,-0.104,-0.12
6.7742e+00,-0.012,-0.008,-0.104,-0.088
6.7819e+00,-0.012,-0.02,-0.104,-0.112
6.7896e+00,-0.012,-0.008,-0.104,-0.088
6.7972e+00,-0.012,-0.02,-0.104,-0.112
6.8049e+00,-0.012,-0.008,-0.104,-0.088
6.8126e+00,-0.012,-0.016,-0.104,-0.112
6.8203e+00,-0.012,-0.008,-0.104,-0.088
6.8280e+00,-0.012,-0.016,-0.096,-0.112
6.8356e+00,-0.012,-0.008,-0.096,-0.088
6.8433e+00,-0.012,-0.016,-0.096,-0.112
6.8510e+00,-0.012,-0.008,-0.096,-0.088
6.8587e+00,-0.012,-0.016,-0.096,-0.112
6.8664e+00,-0.012,-0.008,-0.096,-0.088
6.8740e+00,-0.012,-0.016,-0.096,-0.112
6.8817e+00,-0.012,-0.008,-0.096,-0.088
6.8894e+00,-0.012,-0.016,-0.096,-0.112
6.8971e+00,-0.012,-0.008,-0.096,-0.08
6.9048e+00,-0.012,-0.016,-0.096,-0.104
6.9124e+00,-0.012,-0.008,-0.096,-0.088
6.9201e+00,-0.012,-0.016,-0.096,-0.112
6.9278e+00,-0.012,-0.008,-0.096,-0.08
6.9355e+00,-0.012,-0.016,-0.096,-0.104
6.9432e+00,-0.012,-0.008,-0.096,-0.088
6.9508e+00,-0.012,-0.016,-0.096,-0.104
6.9585e+00,-0.012,-0.008,-0.096,-0.088
6.9662e+00,-0.012,-0.016,-0.096,-0.104
6.9739e+00,-0.012,-0.008,-0.096,-0.08
6.9816e+00,-0.012,-0.016,-0.096,-0.104
6.9892e+00,-0.012,-0.008,-0.096,-0.08
6.9969e+00,-0.012,-0.016,-0.096,-0.104
7.0046e+00,-0.012,-0.008,-0.088,-0.08
7.0123e+00,-0.012,-0.016,-0.088,-0.104
7.0200e+00,-0.012,-0.008,-0.088,-0.08
7.0276e+00,-0.012,-0.016,-0.088,-0.104
7.0353e+00,-0.012,-0.008,-0.088,-0.08
7.0430e+00,-0.012,-0.016,-0.088,-0.104
7.0507e+00,-0.012,-0.008,-0.088,-0.072
7.0584e+00,-0.012,-0.016,-0.088,-0.104
7.0661e+00,-0.012,-0.008,-0.088,-0.08
7.0737e+00,-0.012,-0.016,-0.088,-0.104
7.0814e+00,-0.012,-0.008,-0.088,-0.08
7.0891e+00,-0.012,-0.016,-0.088,-0.096
7.0968e+00,-0.012,-0.008,-0.088,-0.072
7.1045e+00,-0.012,-0.016,-0.088,-0.096
7.1121e+00,-0.012,-0.008,-0.088,-0.08
7.1198e+00,-0.012,-0.016,-0.088,-0.096
7.1275e+00,-0.012,-0.008,-0.088,-0.08
7.1352e+00,-0.012,-0.016,-0.088,-0.096
7.1429e+00,-0.012,-0.008,-0.088,-0.072
7.1505e+00,-0.012,-0.016,-0.088,-0.096
7.1582e+00,-0.012,-0.008,-0.088,-0.072
7.1659e+00,-0.012,-0.016,-0.088,-0.096
7.1736e+00,-0.012,-0.008,-0.08,-0.072
7.1813e+00,-0.012,-0.016,-0.08,-0.096
7.1889e+00,-0.012,-0.008,-0.08,-0.072
7.1966e+00,-0.012,-0.016,-0.08,-0.096
7.2043e+00,-0.012,-0.008,-0.08,-0.072
7.2120e+00,-0.012,-0.016,-0.08,-0.096
7.2197e+00,-0.012,-0.004,-0.08,-0.072
7.2273e+00,-0.012,-0.016,-0.08,-0.088
7.2350e+00,-0.012,-0.008,-0.08,-0.072
7.2427e+00,-0.012,-0.016,-0.08,-0.096
7.2504e+00,-0.012,-0.004,-0.08,-0.072
7.2581e+00,-0.012,-0.016,-0.08,-0.088
7.2657e+00,-0.012,-0.004,-0.08,-0.072
7.2734e+00,-0.012,-0.016,-0.08,-0.088
7.2811e+00,-0.012,-0.004,-0.08,-0.072
7.2888e+00,-0.008,-0.016,-0.08,-0.088
7.2965e+00,-0.008,-0.004,-0.08,-0.072
7.3041e+00,-0.008,-0.016,-0.08,-0.088
7.3118e+00,-0.008,-0.004,-0.08,-0.072
7.3195e+00,-0.008,-0.012,-0.08,-0.088
7.3272e+00,-0.008,-0.004,-0.08,-0.072
7.3349e+00,-0.008,-0.012,-0.08,-0.088
7.3425e+00,-0.008,-0.004,-0.08,-0.064
7.3502e+00,-0.008,-0.012,-0.08,-0.088
7.3579e+00,-0.008,-0.004,-0.072,-0.064
7.3656e+00,-0.008,-0.012,-0.072,-0.088
7.3733e+00,-0.008,-0.004,-0.072,-0.056
7.3810e+00,-0.008,-0.012,-0.072,-0.096
7.3886e+00,-0.008,-0.004,-0.072,-0.064
7.3963e+00,-0.008,-0.012,-0.072,-0.08
7.4040e+00,-0.008,-0.004,-0.072,-0.064
7.4117e+00,-0.008,-0.012,-0.072,-0.08
7.4194e+00,-0.008,-0.004,-0.072,-0.064
7.4270e+00,-0.008,-0.012,-0.072,-0.08
7.4347e+00,-0.008,-0.004,-0.072,-0.064
7.4424e+00,-0.008,-0.012,-0.072,-0.08
7.4501e+00,-0.008,-0.004,-0.072,-0.064
7.4578e+00,-0.008,-0.012,-0.072,-0.08
7.4654e+00,-0.008,-0.004,-0.072,-0.064
7.4731e+00,-0.008,-0.012,-0.072,-0.08
7.4808e+00,-0.008,-0.004,-0.072,-0.056
7.4885e+00,-0.008,-0.012,-0.072,-0.08
7.4962e+00,-0.008,-0.004,-0.064,-0.056
7.5038e+00,-0.008,-0.012,-0.064,-0.08
7.5115e+00,-0.008,-0.004,-0.064,-0.056
7.5192e+00,-0.008,-0.012,-0.064,-0.08
7.5269e+00,-0.008,-0.004,-0.064,-0.056
7.5346e+00,-0.008,-0.012,-0.064,-0.08
7.5422e+00,-0.008,-0.004,-0.064,-0.056
7.5499e+00,-0.008,-0.012,-0.064,-0.08
7.5576e+00,-0.008,-0.004,-0.064,-0.056
